"region","PFAS","rho","p_value","p_adj","n","signif"
"UPWR","PFHxA",0,1,1,3,"ns"
"UPWR","PFOA",NA,NA,NA,3,NA
"UPWR","PFNA",-0.866025403784439,0.333333333333333,0.5,3,"ns"
"UPWR","PFDA",0.866025403784439,0.333333333333333,0.5,3,"ns"
"UPWR","PFDoA",-0.866025403784439,0.333333333333333,0.5,3,"ns"
"UPWR","PFTriA",0.866025403784439,0.333333333333333,0.5,3,"ns"
"UPWR","PFTeA",-0.5,0.666666666666667,0.888888888888889,3,"ns"
"UPWR","PFUnA",0.866025403784439,0.333333333333333,0.5,3,"ns"
"UPWR","PFHxS",-0.866025403784439,0.333333333333333,0.5,3,"ns"
"UPWR","PFOS",-0.866025403784439,0.333333333333333,0.5,3,"ns"
"UPWR","PFPeS",NA,NA,NA,3,NA
"UPWR","PFHPS",NA,NA,NA,3,NA
"UPWR","PFDS",-0.866025403784439,0.333333333333333,0.5,3,"ns"
